test_id,seed,num_threads,threads_per_core,algorithm,num_users,ramp,avg_cpu,stdev_cpu
1,943,60,off,leastconn,100,60,14.093272727272728,3.901553229587646
2,943,60,off,leastconn,100,60,13.301818181818183,4.416406208859517
3,943,60,off,leastconn,100,60,13.759454545454545,5.01381680215979
4,943,60,off,leastconn,100,60,13.392545454545454,4.989207459545069
5,943,60,off,leastconn,100,60,13.723272727272727,4.597709661584929
6,943,60,off,leastconn,100,60,13.96269090909091,5.150805851097718
7,943,60,off,leastconn,100,60,13.734484848484849,4.474218249480607
8,943,60,off,leastconn,100,60,13.973254545454544,5.336568087457155
9,943,60,off,leastconn,100,60,13.519272727272726,4.986918150985446
10,943,60,off,leastconn,100,60,13.787636363636365,4.160889755054681
11,943,60,off,leastconn,500,60,59.76157575757576,11.906203911479361
12,943,60,off,leastconn,500,60,61.33901515151515,11.456195460214328
13,943,60,off,leastconn,500,60,61.135969696969696,14.187464726456234
14,943,60,off,leastconn,500,60,61.346863636363636,12.905223184595254
15,943,60,off,leastconn,500,60,60.812378787878785,12.066974511078165
16,943,60,off,leastconn,500,60,61.996818181818185,15.305689868652504
17,943,60,off,leastconn,500,60,59.88728787878788,13.800484961235577
18,943,60,off,leastconn,500,60,61.9624393939394,14.440614271264602
19,943,60,off,leastconn,500,60,61.794000000000004,13.520285013989318
20,943,60,off,leastconn,500,60,60.860166666666665,15.137181726724085
21,943,60,off,leastconn,1000,60,63.24267140825035,25.918257728021487
22,943,60,off,leastconn,1000,60,48.008653061224486,27.40381848516152
23,943,60,off,leastconn,1000,60,47.2870881632653,27.823959238296297
24,943,60,off,leastconn,1000,60,57.22779833487512,29.642211750342593
25,943,60,off,leastconn,1000,60,54.1183537414966,29.206278387448137
26,943,60,off,leastconn,1000,60,54.70074343434344,26.1966050573496
27,943,60,off,leastconn,1000,60,51.96265116279069,25.540339952497288
28,943,60,off,leastconn,1000,60,64.34148128342247,22.13186467146805
29,943,60,off,leastconn,1000,60,63.05531666666667,28.227617248468633
30,943,60,off,leastconn,1000,60,58.60647038327526,25.759349970476585
31,943,60,off,leastconn,1500,60,58.38410422535211,29.12559125332808
32,943,60,off,leastconn,1500,60,47.439896078431374,28.852225620193373
33,943,60,off,leastconn,1500,60,54.85634366197183,26.451337798479305
34,943,60,off,leastconn,1500,60,57.648386225266364,29.430410167341556
35,943,60,off,leastconn,1500,60,44.21271404682274,30.387174958830432
36,943,60,off,leastconn,1500,60,48.418205008736166,32.94733852333432
37,943,60,off,leastconn,1500,60,52.07842253521127,26.470299451629117
38,943,60,off,leastconn,1500,60,54.233191142191146,25.114915197299457
39,943,60,off,leastconn,1500,60,55.9472,29.52429143829422
40,943,60,off,leastconn,1500,60,47.936476964769646,28.646010176409636
41,943,60,off,leastconn,2000,60,58.100873563218386,26.299958834155863
42,943,60,off,leastconn,2000,60,54.267858823529416,25.413830952951393
