test_id,seed,num_threads,threads_per_core,algorithm,num_users,ramp,avg_cpu,stdev_cpu
1,128,60,off,static-rr,100,60,14.314236363636365,4.535293044373992
2,128,60,off,static-rr,100,60,13.441121212121212,3.68553008984581
3,128,60,off,static-rr,100,60,13.860727272727273,4.983765934768805
4,128,60,off,static-rr,100,60,14.020363636363635,4.725804693382916
5,128,60,off,static-rr,100,60,13.54910606060606,4.850487067763017
6,128,60,off,static-rr,100,60,12.937636363636363,3.7106757198009985
7,128,60,off,static-rr,100,60,13.392963636363636,3.6743326079778877
8,128,60,off,static-rr,100,60,13.622772727272727,5.050370288681884
9,128,60,off,static-rr,100,60,13.40309090909091,4.791042201014392
10,128,60,off,static-rr,100,60,14.034181818181818,4.749442403113851
11,128,60,off,static-rr,500,60,62.87924242424243,16.69049416998191
12,128,60,off,static-rr,500,60,55.0568021978022,20.62681548681615
13,128,60,off,static-rr,500,60,62.475272727272724,16.837500371502017
14,128,60,off,static-rr,500,60,61.25698484848485,15.4762245753749
15,128,60,off,static-rr,500,60,61.014257575757576,16.590141693577955
16,128,60,off,static-rr,500,60,61.209242424242426,17.195461159305246
17,128,60,off,static-rr,500,60,60.98974242424242,16.08759833931513
18,128,60,off,static-rr,500,60,24.997015094339623,40.958619451885085
19,128,60,off,static-rr,500,60,61.064136363636365,14.098781080860286
20,128,60,off,static-rr,500,60,59.49703030303031,15.964286162024083
21,128,60,off,static-rr,1000,60,29.616068071705428,38.98216161869665
22,128,60,off,static-rr,1000,60,29.59890909090909,39.148677600529226
23,128,60,off,static-rr,1000,60,30.141029030765672,38.74982356369443
24,128,60,off,static-rr,1000,60,28.234578075984665,39.40728465756194
25,128,60,off,static-rr,1000,60,29.56136688197299,38.98481004248724
26,128,60,off,static-rr,1000,60,39.25568708609271,41.9031484738774
27,128,60,off,static-rr,1000,60,28.371220122815306,39.39113047626131
28,128,60,off,static-rr,1000,60,29.409482342219185,39.09571169381017
29,128,60,off,static-rr,1000,60,30.457005049938278,38.88032071173518
30,128,60,off,static-rr,1000,60,38.12968478260869,39.6507639410348
31,128,60,off,static-rr,1500,60,43.663206658112344,37.34768021491326
32,128,60,off,static-rr,1500,60,40.734966227625804,39.65755016372492
33,128,60,off,static-rr,1500,60,33.016373333333334,37.451941913384886
34,128,60,off,static-rr,1500,60,42.26051318181818,40.60201310193439
35,128,60,off,static-rr,1500,60,40.51276936346386,40.03077312770538
36,128,60,off,static-rr,1500,60,39.710646202910105,38.61286516201578
37,128,60,off,static-rr,1500,60,40.92925076188833,40.76076977946424
38,128,60,off,static-rr,1500,60,39.90418841733985,39.764164648709325
39,128,60,off,static-rr,1500,60,39.766972067039106,39.11827365761986
40,128,60,off,static-rr,1500,60,40.8288156424581,39.73540680137705
41,128,60,off,static-rr,2000,60,43.296469109113666,37.98873288212134
42,128,60,off,static-rr,2000,60,43.28793254645662,38.80745722751562
43,128,60,off,static-rr,2000,60,44.73516312056738,39.352447006563644
44,128,60,off,static-rr,2000,60,46.5852,41.52099898781603
45,128,60,off,static-rr,2000,60,43.100208277219515,38.76158469767545
46,128,60,off,static-rr,2000,60,44.68151322751323,39.39347540014804
47,128,60,off,static-rr,2000,60,44.13266513349194,38.94545957741352
48,128,60,off,static-rr,2000,60,44.553082313978955,39.258080356365284
49,128,60,off,static-rr,2000,60,44.17492220035222,39.27553986740413
50,128,60,off,static-rr,2000,60,43.427420459389054,39.375532712922784
51,128,60,off,static-rr,2500,60,45.62705633321953,37.3572588636985
52,128,60,off,static-rr,2500,60,45.98313577235772,36.85027256891588
53,128,60,off,static-rr,2500,60,47.634920606649395,37.708094683224274
54,128,60,off,static-rr,2500,60,46.37507614213198,36.81878686757002
55,128,60,off,static-rr,2500,60,45.98359615384616,37.284043358226086
